customer_id,recency,frequency,monetary,R,F,M,rfm_score,tier
SWGY10013,130,1,239.13,2,1,3,6,Potential
SWGY10016,245,1,44.8,2,1,1,4,At-Risk
SWGY10027,4,1,421.02,4,1,4,9,Loyal
SWGY10037,364,1,48.61,1,1,1,3,Lost
SWGY10043,22,2,382.91,3,4,4,11,Champions
SWGY10048,350,1,95.31,1,1,1,3,Lost
SWGY10056,6,2,160.10000000000002,4,4,2,10,Champions
SWGY10058,5,1,201.5,4,1,3,8,Loyal
SWGY10060,23,1,190.93,3,1,3,7,Potential
SWGY10064,17,1,180.29,4,1,2,7,Potential
SWGY10068,29,1,262.82,3,1,3,7,Potential
SWGY10069,216,1,166.89,2,1,2,5,At-Risk
SWGY10071,16,1,124.1,4,1,2,7,Potential
SWGY10084,109,2,773.87,2,4,4,10,Champions
SWGY10086,334,1,256.02,1,1,3,5,At-Risk
SWGY10087,13,1,291.04,4,1,3,8,Loyal
SWGY10088,205,1,292.9,2,1,3,6,Potential
SWGY10090,70,2,225.53,3,4,3,10,Champions
SWGY10091,288,1,41.25,1,1,1,3,Lost
SWGY10099,13,2,160.16,4,4,2,10,Champions
SWGY10104,108,1,404.69,2,1,4,7,Potential
SWGY10110,30,1,524.34,3,1,4,8,Loyal
SWGY10119,243,1,31.99,2,1,1,4,At-Risk
SWGY10137,13,1,730.09,4,1,4,9,Loyal
SWGY10142,400,2,392.37,1,4,4,9,Loyal
SWGY10143,21,1,224.05,3,1,3,7,Potential
SWGY10144,6,1,199.09,4,1,3,8,Loyal
SWGY10145,525,1,15.83,1,1,1,3,Lost
SWGY10147,231,1,56.24,2,1,1,4,At-Risk
SWGY10148,264,1,102.99,2,1,1,4,At-Risk
SWGY10151,18,1,52.24,4,1,1,6,Potential
SWGY10153,9,1,105.78,4,1,2,7,Potential
SWGY10158,20,1,632.0,3,1,4,8,Loyal
SWGY10162,1,1,275.37,4,1,3,8,Loyal
SWGY10163,30,1,155.38,3,1,2,6,Potential
SWGY10168,134,1,204.35,2,1,3,6,Potential
SWGY10173,388,1,76.72,1,1,1,3,Lost
SWGY10183,4,1,168.01,4,1,2,7,Potential
SWGY10184,323,1,62.87,1,1,1,3,Lost
SWGY10191,68,1,429.5,3,1,4,8,Loyal
SWGY10193,4,3,393.42,4,4,4,12,Champions
SWGY10195,307,1,64.09,1,1,1,3,Lost
SWGY10198,215,1,100.51,2,1,1,4,At-Risk
SWGY10200,30,2,44.38,3,4,1,8,Loyal
SWGY10201,14,2,346.03999999999996,4,4,4,12,Champions
SWGY10205,9,2,156.85,4,4,2,10,Champions
SWGY10210,113,1,269.62,2,1,3,6,Potential
SWGY10220,612,1,64.35,1,1,1,3,Lost
SWGY10224,32,1,13.86,3,1,1,5,At-Risk
SWGY10229,18,2,304.22,4,4,3,11,Champions
SWGY10233,12,1,252.26,4,1,3,8,Loyal
SWGY10242,54,1,97.63,3,1,1,5,At-Risk
SWGY10244,303,1,437.43,1,1,4,6,Potential
SWGY10251,404,1,40.31,1,1,1,3,Lost
SWGY10256,347,1,324.21,1,1,3,5,At-Risk
SWGY10261,182,1,179.85,2,1,2,5,At-Risk
SWGY10264,8,1,136.15,4,1,2,7,Potential
SWGY10265,315,2,626.3,1,4,4,9,Loyal
SWGY10267,6,1,75.3,4,1,1,6,Potential
SWGY10269,250,1,714.43,2,1,4,7,Potential
SWGY10271,27,1,700.54,3,1,4,8,Loyal
SWGY10272,17,1,47.35,4,1,1,6,Potential
SWGY10273,82,1,36.27,3,1,1,5,At-Risk
SWGY10274,19,2,958.5999999999999,3,4,4,11,Champions
SWGY10277,10,3,503.84,4,4,4,12,Champions
SWGY10289,281,1,159.3,1,1,2,4,At-Risk
SWGY10292,41,1,197.5,3,1,3,7,Potential
SWGY10294,11,2,385.75,4,4,4,12,Champions
SWGY10298,3,1,57.89,4,1,1,6,Potential
SWGY10300,221,1,147.74,2,1,2,5,At-Risk
SWGY10304,4,1,85.89,4,1,1,6,Potential
SWGY10305,1,1,97.16,4,1,1,6,Potential
SWGY10310,1,1,67.18,4,1,1,6,Potential
SWGY10311,315,1,109.95,1,1,2,4,At-Risk
SWGY10318,739,1,99.09,1,1,1,3,Lost
SWGY10320,268,1,101.62,1,1,1,3,Lost
SWGY10322,547,1,298.47,1,1,3,5,At-Risk
SWGY10323,106,1,45.95,2,1,1,4,At-Risk
