interaction_id,customer_id,campaign_name,channel,event_date,sent,opened,clicked,converted,order_value,spend
INT100001,SWGY12288,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-20,1,1,1,0,0.0,0.66
INT100002,SWGY14266,REFERRAL_GROWTH_DRIVE,Referral,2025-06-27,1,0,0,0,0.0,1.93
INT100003,SWGY13493,REFERRAL_GROWTH_DRIVE,Referral,2023-09-30,1,0,0,0,0.0,2.09
INT100005,SWGY10343,SWIGGY_ONE_LAUNCH,Paid Social,2024-09-08,1,0,0,0,0.0,3.93
INT100006,SWGY15178,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2024-01-24,1,1,1,1,227.4,5.34
INT100007,SWGY15716,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-03,1,1,0,0,0.0,3.97
INT100008,SWGY13240,WINBACK_DORMANT_USERS,Swiggy One Emailer,2024-12-15,1,0,0,0,0.0,0.3
INT100009,SWGY14058,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-06-01,1,1,1,0,0.0,3.77
INT100010,SWGY11166,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2024-07-19,1,1,0,0,0.0,4.57
INT100011,SWGY10135,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-01-26,1,1,0,0,0.0,0.31
INT100012,SWGY12758,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-06-25,1,0,0,0,0.0,3.84
INT100013,SWGY15930,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-18,1,0,0,0,0.0,5.13
INT100014,SWGY11613,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-14,1,1,0,0,0.0,6.66
INT100016,SWGY11597,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-20,1,1,0,0,0.0,0.44
INT100017,SWGY15898,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-08,1,0,0,0,0.0,0.61
INT100019,SWGY11192,REFERRAL_GROWTH_DRIVE,Referral,2025-05-31,1,0,0,0,0.0,1.78
INT100020,SWGY14412,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-01-06,1,1,1,1,141.97,0.29
INT100021,SWGY13755,SWIGGY_ONE_LAUNCH,Paid Social,2024-08-23,1,1,0,0,0.0,4.32
INT100022,SWGY12251,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-04-09,1,1,0,0,0.0,0.26
INT100023,SWGY15352,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2025-05-15,1,1,0,0,0.0,6.39
INT100024,SWGY12827,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-05-31,1,0,0,0,0.0,4.52
INT100025,SWGY10029,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-05,1,1,0,0,0.0,4.79
INT100026,SWGY14289,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2025-03-21,1,1,0,0,0.0,5.88
INT100027,SWGY14561,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-05-05,1,1,0,0,0.0,0.69
INT100028,SWGY10176,REFERRAL_GROWTH_DRIVE,Referral,2025-03-04,1,0,0,0,0.0,1.84
INT100029,SWGY12324,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-12,1,1,0,0,0.0,6.54
INT100030,SWGY13349,WINBACK_DORMANT_USERS,Push Notification (App),2024-12-26,1,1,1,0,0.0,0.31
INT100031,SWGY15732,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-01-19,1,0,0,0,0.0,4.95
INT100033,SWGY10261,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2023-11-01,1,1,0,0,0.0,3.84
INT100034,SWGY14580,WINBACK_DORMANT_USERS,Push Notification (App),2024-05-20,1,1,0,0,0.0,0.36
INT100036,SWGY12796,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-18,1,1,1,0,0.0,0.64
INT100038,SWGY10505,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2024-08-09,1,0,0,0,0.0,4.45
INT100039,SWGY13154,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-15,1,0,0,0,0.0,3.99
INT100040,SWGY13683,REFERRAL_GROWTH_DRIVE,Referral,2025-04-20,1,0,0,0,0.0,2.22
INT100041,SWGY11847,WINBACK_DORMANT_USERS,Push Notification (App),2024-08-05,1,0,0,0,0.0,0.45
INT100042,SWGY11756,REFERRAL_GROWTH_DRIVE,Referral,2024-12-01,1,1,0,0,0.0,1.61
INT100043,SWGY13670,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2024-10-04,1,1,1,0,0.0,6.56
INT100044,SWGY15408,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-27,1,1,0,0,0.0,3.7
INT100045,SWGY11691,WINBACK_DORMANT_USERS,Swiggy One Emailer,2024-11-15,1,1,1,0,0.0,0.22
INT100046,SWGY12572,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2024-11-12,1,1,0,0,0.0,5.16
INT100048,SWGY14017,INSTAMART_10MIN_PUSH,Push Notification (App),2024-06-23,1,1,0,0,0.0,0.42
INT100049,SWGY10145,WINBACK_DORMANT_USERS,Push Notification (App),2024-02-10,1,0,0,0,0.0,0.4
INT100050,SWGY11614,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2023-11-16,1,1,0,0,0.0,0.37
INT100051,SWGY11203,IPL_2025_SPONSORSHIP,Push Notification (App),2024-05-01,1,0,0,0,0.0,0.47
INT100052,SWGY14386,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-06-23,1,0,0,0,0.0,0.29
INT100053,SWGY10481,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-09-01,1,1,0,0,0.0,0.24
INT100054,SWGY10715,SWIGGY_ONE_LAUNCH,Paid Social,2024-09-05,1,0,0,0,0.0,4.28
INT100055,SWGY11773,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-25,1,0,0,0,0.0,0.37
INT100056,SWGY12355,IPL_2025_SPONSORSHIP,Push Notification (App),2024-05-03,1,1,0,0,0.0,0.43
INT100057,SWGY14260,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-02-24,1,0,0,0,0.0,5.56
INT100058,SWGY10285,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-26,1,0,0,0,0.0,4.94
INT100059,SWGY10488,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-01,1,1,0,0,0.0,4.27
INT100060,SWGY14634,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-30,1,0,0,0,0.0,3.26
INT100062,SWGY13451,IPL_2025_SPONSORSHIP,Push Notification (App),2025-04-02,1,0,0,0,0.0,0.45
INT100063,SWGY12173,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-10-04,1,0,0,0,0.0,0.3
INT100064,SWGY12370,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-30,1,1,0,0,0.0,4.26
INT100065,SWGY10809,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-29,1,0,0,0,0.0,0.48
INT100066,SWGY15567,SWIGGY_ONE_LAUNCH,Paid Social,2025-02-16,1,0,0,0,0.0,5.87
INT100067,SWGY15996,INSTAMART_10MIN_PUSH,Push Notification (App),2024-01-22,1,1,1,0,0.0,0.43
INT100068,SWGY13026,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-27,1,0,0,0,0.0,0.3
INT100070,SWGY14005,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-06-12,1,0,0,0,0.0,0.36
INT100071,SWGY14903,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-30,1,1,0,0,0.0,4.06
INT100072,SWGY11349,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-14,1,0,0,0,0.0,5.24
INT100073,SWGY13002,WINBACK_DORMANT_USERS,Swiggy One Emailer,2024-08-22,1,0,0,0,0.0,0.25
INT100074,SWGY13788,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-03,1,0,0,0,0.0,3.96
INT100075,SWGY10749,SWIGGY_ONE_LAUNCH,Paid Social,2025-05-25,1,1,1,0,0.0,4.08
INT100077,SWGY15752,REFERRAL_GROWTH_DRIVE,Referral,2023-11-15,1,0,0,0,0.0,1.57
INT100078,SWGY11032,SWIGGY_ONE_LAUNCH,Paid Social,2024-09-12,1,0,0,0,0.0,4.24
INT100079,SWGY13944,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2024-12-18,1,1,0,0,0.0,5.14
INT100080,SWGY12364,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-24,1,1,1,0,0.0,5.09
INT100081,SWGY11028,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2024-05-27,1,1,0,0,0.0,2.18
INT100082,SWGY15265,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2024-09-28,1,1,0,0,0.0,4.84
INT100083,SWGY15914,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-10,1,1,0,0,0.0,0.47
INT100084,SWGY10513,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-18,1,0,0,0,0.0,3.71
INT100085,SWGY14864,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2024-10-20,1,0,0,0,0.0,2.66
INT100086,SWGY15576,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2024-06-28,1,1,1,0,0.0,2.51
INT100087,SWGY11540,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-10-08,1,1,1,1,131.32,0.3
INT100088,SWGY12986,WINBACK_DORMANT_USERS,Push Notification (App),2024-08-31,1,0,0,0,0.0,0.36
INT100089,SWGY15652,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-05,1,1,0,0,0.0,0.49
INT100091,SWGY13523,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2024-04-09,1,1,1,1,441.72,4.45
INT100092,SWGY13996,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-05-04,1,1,1,0,0.0,0.24
INT100093,SWGY12458,INSTAMART_10MIN_PUSH,Push Notification (App),2024-12-21,1,1,0,0,0.0,0.34
INT100094,SWGY14714,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-09,1,1,1,0,0.0,3.31
INT100095,SWGY14451,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2024-11-10,1,0,0,0,0.0,5.92
INT100096,SWGY11561,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-03-16,1,1,1,0,0.0,3.51
INT100098,SWGY13255,WINBACK_DORMANT_USERS,Push Notification (App),2024-05-18,1,1,0,0,0.0,0.33
INT100099,SWGY14872,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-08,1,0,0,0,0.0,0.54
INT100100,SWGY15509,INSTAMART_10MIN_PUSH,Push Notification (App),2025-01-27,1,1,0,0,0.0,0.33
INT100101,SWGY15534,SWIGGY_ONE_LAUNCH,Paid Social,2025-04-03,1,1,0,0,0.0,5.37
INT100102,SWGY13975,SWIGGY_ONE_LAUNCH,Paid Social,2024-11-11,1,1,0,0,0.0,4.11
INT100103,SWGY15806,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2023-10-25,1,1,0,0,0.0,5.97
INT100104,SWGY11807,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2024-10-24,1,0,0,0,0.0,2.86
INT100105,SWGY12027,REFERRAL_GROWTH_DRIVE,Referral,2024-06-07,1,1,1,0,0.0,2.24
INT100106,SWGY15963,INSTAMART_10MIN_PUSH,Push Notification (App),2024-10-09,1,1,1,0,0.0,0.4
INT100108,SWGY15212,REFERRAL_GROWTH_DRIVE,Referral,2024-11-30,1,1,0,0,0.0,1.36
INT100109,SWGY10693,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-21,1,1,0,0,0.0,6.36
INT100110,SWGY13255,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2024-08-19,1,0,0,0,0.0,6.03
INT100111,SWGY13532,WINBACK_DORMANT_USERS,Push Notification (App),2025-04-11,1,0,0,0,0.0,0.39
